placename,loc,seq,circle,longitude,latitude,Sn_adj,Sv_adj,SnSv_pred_linear,HOP,ln_HOP,LER_etoo,ln_LER,FNR_NO2,FNR_NOx,FNR_NOy,ln_FNR_NO2,ln_FNR_NOx,ln_FNR_NOy,land_earth,land_global,SnSv_FNR,SnSv_HOP,SnSv_LER
Afghanistan,11115.882352941177,3016.8823529411766,66.6470588235294,66.6470588235294,34.529411764705884,7.154556721977531,8.201964405430685,0.8940444344345541,0.22087218259868133,-1.5918053670095664,0.002313859896095507,-6.906461330210773,0.5258323951177467,0.42284474742503,0.2464362688667922,-0.7611877005558186,-0.9774063726342921,-1.4602252690867423,1.0,1.0,0.865629606889275,0.7333864826200537,1.109861152133021
Algeria,8234.692307692309,4808.7692307692305,106.53846153846153,2.6923076923076925,28.076923076923077,9.214199148945472,6.975611339327259,1.3397198228842828,1.490213740738743,0.21317649762859667,0.007994601404064895,-6.0527337570504836,2.848989145991064,2.437016072114886,0.597947096065951,0.7057240575161869,0.547054752884536,-0.6616610168296908,1.0,1.0,1.5009490893102606,1.364769138870483,1.2920466162454267
Angola,8879.8,780.8,17.48,17.48,-12.6,12.253140863222372,10.66617261990629,1.1595914035805424,0.26218621457172575,-1.5433262537700556,0.007359696368849303,-5.0413866813801,1.9770770047335597,1.6179625892189309,1.1297421650401203,0.6281127453609983,0.42721197973886127,0.07883471724181743,1.0,1.0,1.4673356300158484,0.7503444764312346,1.5078680821934864
Argentina,5150.542857142857,13251.542857142857,294.85714285714283,-65.14285714285714,-35.05714285714286,11.823706553290807,8.570749318091032,1.406573812732469,1.2866528001885273,0.05883018189373538,0.008396829673150667,-5.279497212054756,1.8894416034958263,1.5161443226827473,0.9922063961348152,0.38825021411434096,0.14951136985803895,-0.20191395344022461,1.0,1.0,1.363451167732921,1.3107787976264287,1.4570552949475148
Armenia,10145.0,2046.0,45.0,45.0,41.0,7.389948579797281,9.463542732785363,0.7808860580505066,0.200719741066021,-1.6058456669506045,0.0004282842740199,-7.755723391224841,0.3571800743963392,0.2790679876383767,0.2077028453282681,-1.0295152143007171,-1.2762998435550494,-1.571646848972584,1.0,1.0,0.7494169606863594,0.7284751857006786,0.9286286283126188
Australia,14147.372881355932,6048.372881355932,134.68361581920905,134.68361581920905,-25.779661016949152,12.367914396395594,7.930619980181951,1.5860388377331027,1.7144770111547651,0.3375888979037263,0.03238210267112726,-4.309591374197686,3.3245611750551065,2.7469352727464735,1.4666240695933952,0.9319282285699793,0.7309403723426938,0.23659213401887436,1.0,1.0,1.598918115793658,1.4082885964867236,1.6640332007462137
Austria,8730.75,631.75,13.5,13.5,47.5,5.8045861516562525,10.776336122283055,0.541341525779663,0.15116291218570044,-1.898213619218983,0.000121588322782868,-9.179644364449821,0.20321772418006265,0.1572463198748132,0.12333586853440452,-1.623763525557172,-1.880979011535066,-2.1246451210819863,1.0,1.0,0.49204801708118884,0.6262048759971998,0.6247638926264081
Azerbaijan,10342.6,2243.6,49.4,49.4,40.2,8.880570788431795,9.226823183395656,0.9800810572258053,0.6805567199187961,-0.718502911167734,0.0010553175486521199,-7.5033886207800595,1.0270331380682465,0.8463010844956008,0.3249102021862957,-0.22544067855846453,-0.4386965379615739,-1.1685310425827669,1.0,1.0,1.097661642116329,1.0388676816735267,0.9824768683255352
Bangladesh,12161.5,4062.5,90.0,90.0,24.0,7.690039692851034,17.534163664637017,0.462411942264609,0.10037029364227831,-2.3416777389205876,0.00012148613469203207,-9.263420076920145,0.40251885089382466,0.2920107104707515,0.21477846555192767,-0.9384172660173226,-1.265547409945532,-1.5723857642801806,1.0,1.0,0.7888714820878977,0.47108112692557846,0.606886155585241
Belarus,9386.333333333334,1287.3333333333333,28.0,28.0,53.666666666666664,8.343351551133077,9.06127202210695,0.9228788037849078,0.5017572504562918,-0.7205061117126301,0.0004241395006322,-7.8720731799137775,0.4006926319496959,0.31689125538120305,0.20197902546416238,-0.9338899818891968,-1.171597319511301,-1.6093342625691207,1.0,1.0,0.7908322488437889,1.038166962122922,0.9037995834063997
